Name,BLEU,ROUGE,METEOR
RAG Llama Distiluse,0.1564201770619133,0.3197785765018506,0.4365199322249682
RAG Mistral Distiluse,0.3494655792585286,0.5489870039051687,0.6250835419727028
RAG Gemma Distiluse,0.3488787438399429,0.5591727462090267,0.612519129577905
RAG Gemma MiniLM,0.3088527916850582,0.5174922939277505,0.572729352991834
RAG Mistral MiniLM,0.3101486536187107,0.508063528839878,0.5945071341724222
FT Mistral,0.7032437591554889,0.7888216956982589,0.7741141289473034
FT Gemma,0.4161353460075105,0.5740925401081218,0.5656160644166893
FT Llama,0.3492257552672986,0.5179050879143039,0.5066891257804931
RAG Llama MiniLM,0.13987734250425915,0.29042053541287666,0.4035143218101335
